# Missing ingredients from recipe NLG dataset
#
# Columns: ingredient,proposed_category,proposed_subcategory,proposed_food_group,proposed_major_group
# Categories/subcategories may be NEW (see MISSING_CATEGORIES.txt and MISSING_SUBCATEGORIES.txt).
# Major group: animal | plant | dairy (drives sphere RGB color).
#
ingredient,proposed_category,proposed_subcategory,proposed_food_group,proposed_major_group
soy cheese,Aged cheese,Aged cheese,Dairy,dairy
soy coffee,Coffee & tea,Coffee,Herbs & spices,plant
soy creamer,Plant milks,Plant milks,Dairy,dairy
soy grits,Whole grains,Wheat,Grains,plant
soy margarine,Margarine & shortening,Margarine,Fats & oils,plant
soy nuts,Nuts,Tree nuts,Nuts & seeds,plant
soy oil,Oils,Vegetable oils,Fats & oils,plant
soy protein,Legumes,Soy,Protein (plant),plant
soy protein isolate,Legumes,Soy,Protein (plant),plant
soy protein powder,Legumes,Soy,Protein (plant),plant
soymilk,Plant milks,Plant milks,Dairy,dairy
soymilk lite,Plant milks,Plant milks,Dairy,dairy
soymilk powder,Plant milks,Plant milks,Dairy,dairy
spaghetti,Refined grains,Pasta,Grains,plant
spaghetti mix,Refined grains,Pasta,Grains,plant
spaghetti noodles,Refined grains,Pasta,Grains,plant
spaghettini,Refined grains,Pasta,Grains,plant
spanish brandy,Alcoholic beverages,Brandy,Condiments & sauces,plant
spanish nuts,Nuts,Tree nuts,Nuts & seeds,plant
spanish sherry,Alcoholic beverages,Wine,Condiments & sauces,plant
sparkling cider,Alcoholic beverages,Cider,Condiments & sauces,plant
sparkling lemonade,Juices,Fruit juices,Fruits,plant
sparkling mineral water,Soft drinks,Soft drinks,Sweets,plant
sparkling soda water,Soft drinks,Soft drinks,Sweets,plant
sparkling water,Soft drinks,Soft drinks,Sweets,plant
sparkling white wine,Alcoholic beverages,Wine,Condiments & sauces,plant
sparkling wine,Alcoholic beverages,Wine,Condiments & sauces,plant
spearmint,Fresh herbs,Soft herbs,Herbs & spices,plant
spearmint leaves,Fresh herbs,Soft herbs,Herbs & spices,plant
speck,Processed meat,Cured pork,Protein (animal),animal
speck of salt,Salt & seasonings,Salt,Herbs & spices,plant
spice blend,Spice blends,American blends,Herbs & spices,plant
spice cake,Prepared mixes,Cake mixes,Sweets,plant
spice rub,Spice blends,American blends,Herbs & spices,plant
spiced rum,Alcoholic beverages,Rum,Condiments & sauces,plant
spike seasoning,Spice blends,American blends,Herbs & spices,plant
spiral macaroni,Refined grains,Pasta,Grains,plant
splenda artificial sweetener,Sweets,Sugar substitutes,Sweets,plant
splenda granular,Sweets,Sugar substitutes,Sweets,plant
sponge cake,Prepared mixes,Cake mixes,Sweets,plant
sponge cakes,Prepared mixes,Cake mixes,Sweets,plant
spray oil,Oils,Vegetable oils,Fats & oils,plant
spread,Condiments & sauces,Spreads,Condiments & sauces,plant
spreadable cheese,Aged cheese,Aged cheese,Dairy,dairy
spreadable cheese with,Aged cheese,Aged cheese,Dairy,dairy
sprigs,Fresh herbs,Soft herbs,Herbs & spices,plant
spring greens,Leafy greens,Salad greens,Vegetables,plant
spring greens mix,Leafy greens,Salad greens,Vegetables,plant
spring lettuce mix,Leafy greens,Lettuce,Vegetables,plant
spring macaroni,Refined grains,Pasta,Grains,plant
spring mix salad,Leafy greens,Lettuce,Vegetables,plant
spring mix salad greens,Leafy greens,Lettuce,Vegetables,plant
spring peas,Legumes,Peas,Protein (plant),plant
spring roll wrappers,Bread & baked goods,Wrappers,Grains,plant
spring rolls,Bread & baked goods,Bread,Grains,plant
spring salad mix,Leafy greens,Lettuce,Vegetables,plant
sprinkles,Sweets,Confectionery,Sweets,plant
sprinkling of salt,Salt & seasonings,Salt,Herbs & spices,plant
sprite,Soft drinks,Soft drinks,Sweets,plant
sprite soda,Soft drinks,Soft drinks,Sweets,plant
sprouts,Leafy greens,Sprouts,Vegetables,plant
stack crackers,Bread & baked goods,Crackers,Grains,plant
stack ritz crackers,Bread & baked goods,Crackers,Grains,plant
stale beer,Alcoholic beverages,Beer,Condiments & sauces,plant
stale breadcrumbs,Bread & baked goods,Bread crumbs,Grains,plant
stalk,Non-starchy vegetables,Stalks,Vegetables,plant
stalk fennel,Non-starchy vegetables,Stalks,Vegetables,plant
stalk japanese,Non-starchy vegetables,Stalks,Vegetables,plant
stalk rhubarb,Non-starchy vegetables,Stalks,Vegetables,plant
stalks,Non-starchy vegetables,Stalks,Vegetables,plant
stalks chopped,Non-starchy vegetables,Stalks,Vegetables,plant
stalks coriander,Dried spices,Seed spices,Herbs & spices,plant
stalks japanese,Non-starchy vegetables,Stalks,Vegetables,plant
stalks rhubarb,Non-starchy vegetables,Stalks,Vegetables,plant
steak,Red meat,Beef,Protein (animal),animal
steak fillets,Red meat,Beef,Protein (animal),animal
steak rolls,Bread & baked goods,Bread,Grains,plant
steak seasoning,Spice blends,American blends,Herbs & spices,plant
steak seasoning blend,Spice blends,American blends,Herbs & spices,plant
steak spice,Red meat,Beef,Protein (animal),animal
steen's cane syrup,Sweets,Syrup,Sweets,plant
stella d'oro anginetti cookies,Sweets,Confectionery,Sweets,plant
stew meat,Red meat,Beef,Protein (animal),animal
stewing hen,Poultry,Chicken,Protein (animal),animal
stewing steak,Red meat,Beef,Protein (animal),animal
stewing veal,Red meat,Veal,Protein (animal),animal
stir-fry oil,Oils,Vegetable oils,Fats & oils,plant
stock,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
stock powder,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
stock vegetable,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
stock veggie,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
stone ground grits,Whole grains,Wheat,Grains,plant
stone-ground grits,Whole grains,Wheat,Grains,plant
stone-ground white grits,Whole grains,Wheat,Grains,plant
stone-ground yellow grits,Whole grains,Wheat,Grains,plant
store-bought angel food cake,Prepared mixes,Cake mixes,Sweets,plant
store-bought pizza dough,Bread & baked goods,Pizza dough,Grains,plant
store-bought pound cake,Prepared mixes,Cake mixes,Sweets,plant
stout,Alcoholic beverages,Beer,Condiments & sauces,plant
stout beer,Alcoholic beverages,Beer,Condiments & sauces,plant
stove top dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
stove top dressing mix,Prepared mixes,Stuffing mixes,Grains,plant
stove top stuffing,Prepared mixes,Stuffing mixes,Grains,plant
stove top stuffing mix,Prepared mixes,Stuffing mixes,Grains,plant
streusel,Bread & baked goods,Pastries,Grains,plant
streusel topping,Bread & baked goods,Pastries,Grains,plant
string cheese,Processed cheese,Semi-soft cheese,Dairy,dairy
stripe cookies,Sweets,Confectionery,Sweets,plant
strong black coffee,Coffee & tea,Coffee,Herbs & spices,plant
strong cheese,Aged cheese,Aged cheese,Dairy,dairy
strong coffee,Coffee & tea,Coffee,Herbs & spices,plant
strong tea,Coffee & tea,Tea,Herbs & spices,plant
strong vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
stuff cookies,Sweets,Confectionery,Sweets,plant
stuffing,Prepared mixes,Stuffing mixes,Grains,plant
stuffing croutons,Bread & baked goods,Croutons,Grains,plant
stuffing crumbs,Prepared mixes,Stuffing mixes,Grains,plant
stuffing cubes,Prepared mixes,Stuffing mixes,Grains,plant
stuffing mix,Prepared mixes,Stuffing mixes,Grains,plant
stuffing mix for,Prepared mixes,Stuffing mixes,Grains,plant
stuffing shells,Prepared mixes,Stuffing mixes,Grains,plant
stuffing:,Prepared mixes,Stuffing mixes,Grains,plant
sub rolls,Bread & baked goods,Bread,Grains,plant
submarine buns,Bread & baked goods,Rolls,Grains,plant
submarine roll,Bread & baked goods,Bread,Grains,plant
submarine rolls,Bread & baked goods,Bread,Grains,plant
suet,Margarine & shortening,Animal fats,Fats & oils,animal
summer savory,Fresh herbs,Soft herbs,Herbs & spices,plant
sunflower,Seeds,Sunflower seed,Nuts & seeds,plant
sunflower kernels,Seeds,Sunflower seed,Nuts & seeds,plant
sunflower margarine,Margarine & shortening,Margarine,Fats & oils,plant
sunflower nuts,Seeds,Sunflower seed,Nuts & seeds,plant
sunflower sprouts,Leafy greens,Sprouts,Vegetables,plant
sushi vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
swede,Cruciferous vegetables,Root brassicas,Vegetables,plant
swedes,Cruciferous vegetables,Root brassicas,Vegetables,plant
swedish meatballs,Processed meat,Fresh sausage,Protein (animal),animal
sweet biscuit crumbs,Bread & baked goods,Biscuits,Grains,plant
sweet biscuits,Bread & baked goods,Biscuits,Grains,plant
sweet chili,Non-starchy vegetables,Chili peppers,Vegetables,plant
sweet chili paste,Non-starchy vegetables,Chili peppers,Vegetables,plant
sweet chilli,Non-starchy vegetables,Chili peppers,Vegetables,plant
sweet cider,Alcoholic beverages,Cider,Condiments & sauces,plant
sweet curry,Condiments & sauces,Curry pastes,Condiments & sauces,plant
sweet dessert wine,Alcoholic beverages,Wine,Condiments & sauces,plant
sweet gherkin,Pickled vegetables,Pickled cucumber & cabbage,Condiments & sauces,plant
sweet gherkins,Pickled vegetables,Pickled cucumber & cabbage,Condiments & sauces,plant
sweet green peas,Legumes,Peas,Protein (plant),plant
sweet marsala,Alcoholic beverages,Wine,Condiments & sauces,plant
sweet marsala wine,Alcoholic beverages,Wine,Condiments & sauces,plant
sweet pastry,Bread & baked goods,Pastries,Grains,plant
sweet peas,Legumes,Peas,Protein (plant),plant
sweet pie crust,Bread & baked goods,Pastries,Grains,plant
sweet red,Non-starchy vegetables,Bell pepper,Vegetables,plant
sweet red wine,Alcoholic beverages,Wine,Condiments & sauces,plant
sweet relish,Pickled vegetables,Pickled cucumber & cabbage,Condiments & sauces,plant
sweet roll,Bread & baked goods,Bread,Grains,plant
sweet rolls,Bread & baked goods,Bread,Grains,plant
sweet salad cubes,Leafy greens,Lettuce,Vegetables,plant
sweet sherry,Alcoholic beverages,Wine,Condiments & sauces,plant
sweet sour mix,Juices,Fruit juices,Fruits,plant
sweet tea,Coffee & tea,Tea,Herbs & spices,plant
sweet vermouth,Alcoholic beverages,Wine,Condiments & sauces,plant
sweet vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
sweet white wine,Alcoholic beverages,Wine,Condiments & sauces,plant
sweetcorn,Starchy vegetables,Corn,Vegetables,plant
swiss gruyere,Aged cheese,Swiss,Dairy,dairy
swiss meringue,Sweets,Confectionery,Sweets,plant
swiss meringue buttercream,Sweets,Confectionery,Sweets,plant
swiss roll,Bread & baked goods,Bread,Grains,plant
swiss steak,Red meat,Beef,Protein (animal),animal
syrup,Sweets,Syrup,Sweets,plant
syrup from,Sweets,Syrup,Sweets,plant
szechuan peppercorn,Dried spices,Whole spices,Herbs & spices,plant
szechuan peppercorns,Dried spices,Whole spices,Herbs & spices,plant
szechuan seasoning,Spice blends,American blends,Herbs & spices,plant
t capers,Pickled vegetables,Capers,Condiments & sauces,plant
t oil,Oils,Vegetable oils,Fats & oils,plant
t vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
tablespoons kirsch,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
taco,Bread & baked goods,Tortillas,Grains,plant
taco bell,Bread & baked goods,Tortillas,Grains,plant
taco bell taco,Bread & baked goods,Tortillas,Grains,plant
taco cheese,Aged cheese,Aged cheese,Dairy,dairy
taco chips,Bread & baked goods,Tortillas,Grains,plant
taco doritos,Bread & baked goods,Crackers,Grains,plant
taco flavor,Bread & baked goods,Tortillas,Grains,plant
taco meat,Bread & baked goods,Tortillas,Grains,plant
taco mix,Bread & baked goods,Tortillas,Grains,plant
taco shell,Bread & baked goods,Tortillas,Grains,plant
taco shells,Bread & baked goods,Tortillas,Grains,plant
taco spice,Bread & baked goods,Tortillas,Grains,plant
tacos,Bread & baked goods,Tortillas,Grains,plant
tagliatelle,Refined grains,Pasta,Grains,plant
tajin seasoning,Spice blends,American blends,Herbs & spices,plant
taleggio cheese,Aged cheese,Aged cheese,Dairy,dairy
tallow,Margarine & shortening,Animal fats,Fats & oils,animal
tamale,Bread & baked goods,Cornbread,Grains,plant
tamale dough,Bread & baked goods,Cornbread,Grains,plant
tamales,Bread & baked goods,Cornbread,Grains,plant
tamarind,Condiments & sauces,Asian sauces,Condiments & sauces,plant
tamarind concentrate,Condiments & sauces,Asian sauces,Condiments & sauces,plant
tamarind juice,Condiments & sauces,Asian sauces,Condiments & sauces,plant
tamarind liquid,Condiments & sauces,Asian sauces,Condiments & sauces,plant
tamarind pods,Condiments & sauces,Asian sauces,Condiments & sauces,plant
tamarind pulp,Condiments & sauces,Asian sauces,Condiments & sauces,plant
tamarind puree,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
tamarind syrup,Sweets,Syrup,Sweets,plant
tamarind water,Condiments & sauces,Asian sauces,Condiments & sauces,plant
tandoori masala,Spice blends,Indian blends,Herbs & spices,plant
tandoori paste,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
tapenade,Condiments & sauces,Herb sauces,Condiments & sauces,plant
tapioca,Flours,Starches,Grains,plant
tapioca powder,Flours,Starches,Grains,plant
tapioca pudding,Flours,Starches,Grains,plant
tapioca pudding mix,Prepared mixes,Puddings,Sweets,plant
tapioca starch,Flours,Starches,Grains,plant
tart jelly,Jams & preserves,Fruit preserves,Sweets,plant
tart shell,Bread & baked goods,Pastries,Grains,plant
tart shells,Bread & baked goods,Pastries,Grains,plant
tasty cheese,Aged cheese,Aged cheese,Dairy,dairy
tater,Starchy vegetables,Potato,Vegetables,plant
tater tots,Starchy vegetables,Potato,Vegetables,plant
taters,Starchy vegetables,Potato,Vegetables,plant
tawny port,Alcoholic beverages,Wine,Condiments & sauces,plant
tawny port wine,Alcoholic beverages,Wine,Condiments & sauces,plant
tea,Coffee & tea,Tea,Herbs & spices,plant
tea bags,Coffee & tea,Tea,Herbs & spices,plant
tea biscuits,Bread & baked goods,Biscuits,Grains,plant
tea leaves,Coffee & tea,Tea,Herbs & spices,plant
tea mix,Coffee & tea,Tea,Herbs & spices,plant
teas,Coffee & tea,Tea,Herbs & spices,plant
tenderizer,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
tenderloin roast,Red meat,Beef,Protein (animal),animal
tenderloins,Red meat,Beef,Protein (animal),animal
tennessee whiskey,Alcoholic beverages,Whisky,Condiments & sauces,plant
tequila,Alcoholic beverages,Tequila,Condiments & sauces,plant
tequila blanco,Alcoholic beverages,Tequila,Condiments & sauces,plant
teriyaki glaze,Sweets,Confectionery,Sweets,plant
teriyaki marinade,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
texas rolls,Bread & baked goods,Bread,Grains,plant
thai chiles,Non-starchy vegetables,Chili peppers,Vegetables,plant
thai chili,Non-starchy vegetables,Chili peppers,Vegetables,plant
thai chili paste,Non-starchy vegetables,Chili peppers,Vegetables,plant
thai chilies,Non-starchy vegetables,Chili peppers,Vegetables,plant
thai green curry,Condiments & sauces,Curry pastes,Condiments & sauces,plant
thai red chili paste,Non-starchy vegetables,Chili peppers,Vegetables,plant
thai red curry,Condiments & sauces,Curry pastes,Condiments & sauces,plant
thank you pie filling,Prepared mixes,Pie fillings,Sweets,plant
thawed peas,Legumes,Peas,Protein (plant),plant
thawed whipped topping,Prepared mixes,Whipped toppings,Sweets,dairy
thick yoghurt,Yogurt,Greek yogurt,Dairy,dairy
thigh,Poultry,Chicken,Protein (animal),animal
thigh meat,Poultry,Chicken,Protein (animal),animal
thighs,Poultry,Chicken,Protein (animal),animal
thin breadsticks,Bread & baked goods,Bread,Grains,plant
thin chinese noodles,Refined grains,Noodles,Grains,plant
thin linguine,Refined grains,Pasta,Grains,plant
thin pizza crust,Bread & baked goods,Pizza dough,Grains,plant
thin pretzels,Bread & baked goods,Pretzels,Grains,plant
thin round steak,Red meat,Beef,Protein (animal),animal
thin spaghetti,Refined grains,Pasta,Grains,plant
thin spaghetti noodles,Refined grains,Pasta,Grains,plant
thin stalks,Non-starchy vegetables,Stalks,Vegetables,plant
thin stick pretzels,Bread & baked goods,Pretzels,Grains,plant
thin veal,Red meat,Veal,Protein (animal),animal
thin wheat crackers,Bread & baked goods,Crackers,Grains,plant
thin wheat snack crackers,Bread & baked goods,Crackers,Grains,plant
thread,Dried spices,Whole spices,Herbs & spices,plant
threads,Dried spices,Whole spices,Herbs & spices,plant
three cheese,Aged cheese,Aged cheese,Dairy,dairy
three cheese tortellini,Refined grains,Pasta,Grains,plant
tia maria,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
tightly packed shredded lettuce,Leafy greens,Lettuce,Vegetables,plant
tikka masala,Spice blends,Indian blends,Herbs & spices,plant
tikka paste,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
tillamook cheese,Aged cheese,Aged cheese,Dairy,dairy
tiny capers,Pickled vegetables,Capers,Condiments & sauces,plant
tiny peas,Legumes,Peas,Protein (plant),plant
tiny shell macaroni,Refined grains,Pasta,Grains,plant
toast,Bread & baked goods,Bread,Grains,plant
toasted spice rub,Spice blends,American blends,Herbs & spices,plant
toasted wheat germ,Bread & baked goods,Bread,Grains,plant
tomatoe paste,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
tootsie rolls,Bread & baked goods,Bread,Grains,plant
torn frisee,Leafy greens,Lettuce,Vegetables,plant
torn green leaf lettuce,Leafy greens,Lettuce,Vegetables,plant
torn leaf lettuce,Leafy greens,Lettuce,Vegetables,plant
torn lettuce,Leafy greens,Lettuce,Vegetables,plant
torn lettuce leaves,Leafy greens,Lettuce,Vegetables,plant
torn red leaf lettuce,Leafy greens,Lettuce,Vegetables,plant
torn romaine,Leafy greens,Lettuce,Vegetables,plant
torn salad greens,Leafy greens,Lettuce,Vegetables,plant
torpedo rolls,Bread & baked goods,Bread,Grains,plant
tortellini,Refined grains,Pasta,Grains,plant
tortilla chips,Bread & baked goods,Crackers,Grains,plant
tortilla shells,Refined grains,Pasta,Grains,plant
tortillas chips,Bread & baked goods,Pastries,Grains,plant
tostada shells,Refined grains,Pasta,Grains,plant
tostado shells,Refined grains,Pasta,Grains,plant
tots,Starchy vegetables,Potato,Vegetables,plant
townhouse crackers,Bread & baked goods,Crackers,Grains,plant
trans-fat free margarine,Margarine & shortening,Margarine,Fats & oils,plant
trimmed rhubarb,Non-starchy vegetables,Stalks,Vegetables,plant
triple sec,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
triple sec liqueur,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
tropical fruit salad,Leafy greens,Lettuce,Vegetables,plant
tsp.salt,Salt & seasonings,Salt,Herbs & spices,plant
tsps salt,Salt & seasonings,Salt,Herbs & spices,plant
tube biscuits,Bread & baked goods,Biscuits,Grains,plant
tubes biscuits,Bread & baked goods,Biscuits,Grains,plant
tumeric,Dried spices,Ground spices,Herbs & spices,plant
tumeric powder,Dried spices,Ground spices,Herbs & spices,plant
turbinado,Sweets,Sugar,Sweets,plant
turkish coffee,Coffee & tea,Coffee,Herbs & spices,plant
twinkies,Sweets,Confectionery,Sweets,plant
twist macaroni,Refined grains,Pasta,Grains,plant
type cheese,Aged cheese,Aged cheese,Dairy,dairy
umeboshi vinegar,Condiments & sauces,Vinegars,Condiments & sauces,plant
unbaked pie crust,Bread & baked goods,Pastries,Grains,plant
unbaked pie crusts,Bread & baked goods,Pastries,Grains,plant
unbaked pie pastry,Bread & baked goods,Pastries,Grains,plant
unbaked pie shell,Bread & baked goods,Pastries,Grains,plant
unbaked pie shells,Bread & baked goods,Pastries,Grains,plant
uncooked fettuccine,Refined grains,Pasta,Grains,plant
uncooked grits,Whole grains,Wheat,Grains,plant
uncooked wheat berries,Berries,Berries,Fruits,plant
unfilled ladyfingers,Bread & baked goods,Cookies,Grains,plant
unflavored gelatine,Baking ingredients,Setting agents,Grains,plant
unflavored jello,Prepared mixes,Gelatins,Sweets,plant
unflavored vodka,Alcoholic beverages,Vodka,Condiments & sauces,plant
unflavoured gelatine,Baking ingredients,Setting agents,Grains,plant
unprocessed bran,Whole grains,Whole grains,Grains,plant
unprocessed natural bran,Whole grains,Whole grains,Grains,plant
unprocessed oat bran,Whole grains,Whole grains,Grains,plant
unprocessed wheat bran,Whole grains,Whole grains,Grains,plant
unrefined oil,Oils,Vegetable oils,Fats & oils,plant
unsalted cracker crumbs,Bread & baked goods,Crackers,Grains,plant
unsalted crackers,Bread & baked goods,Crackers,Grains,plant
unsalted margarine,Margarine & shortening,Margarine,Fats & oils,plant
unsalted matzo meal,Bread & baked goods,Flatbread,Grains,plant
unsalted mixed nuts,Nuts,Tree nuts,Nuts & seeds,plant
unsalted nuts,Nuts,Tree nuts,Nuts & seeds,plant
unsalted pareve margarine,Margarine & shortening,Margarine,Fats & oils,plant
unsalted pretzels,Bread & baked goods,Pretzels,Grains,plant
unsalted soda crackers,Bread & baked goods,Crackers,Grains,plant
unsalted sunflower kernels,Seeds,Sunflower seed,Nuts & seeds,plant
unsalted tortilla chips,Bread & baked goods,Crackers,Grains,plant
unseasoned meat tenderizer,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
unsweetened fruit cocktail,Prepared mixes,Pie fillings,Sweets,plant
unsweetened instant tea,Coffee & tea,Tea,Herbs & spices,plant
unsweetened soymilk,Plant milks,Plant milks,Dairy,dairy
unsweetened wheat germ,Whole grains,Whole grains,Grains,plant
untoasted wheat germ,Whole grains,Whole grains,Grains,plant
valley dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
valley original salad dressing,Condiments & sauces,Salad dressings,Condiments & sauces,plant
vanilla baking chips,Sweets,Chocolate,Sweets,plant
vanilla buttercream frosting,Sweets,Confectionery,Sweets,plant
vanilla butternut,Starchy vegetables,Winter squash,Vegetables,plant
vanilla butternut flavoring,Extracts & essences,Extracts,Herbs & spices,plant
vanilla cake,Prepared mixes,Cake mixes,Sweets,plant
vanilla cake mix,Prepared mixes,Cake mixes,Sweets,plant
vanilla candy coating,Sweets,Confectionery,Sweets,plant
vanilla candy coating squares,Sweets,Confectionery,Sweets,plant
vanilla chips,Sweets,Chocolate,Sweets,plant
vanilla coffee,Coffee & tea,Coffee,Herbs & spices,plant
vanilla cookie crumbs,Sweets,Confectionery,Sweets,plant
vanilla cookies,Sweets,Confectionery,Sweets,plant
vanilla cupcakes,Sweets,Confectionery,Sweets,plant
vanilla custard,Prepared mixes,Puddings,Sweets,plant
vanilla custard powder,Prepared mixes,Puddings,Sweets,plant
vanilla essence,Extracts & essences,Extracts,Herbs & spices,plant
vanilla flavor,Extracts & essences,Extracts,Herbs & spices,plant
vanilla flavored candy coating,Sweets,Confectionery,Sweets,plant
vanilla flavored vodka,Alcoholic beverages,Vodka,Condiments & sauces,plant
vanilla frosting,Sweets,Confectionery,Sweets,plant
vanilla glaze,Sweets,Confectionery,Sweets,plant
vanilla icing,Sweets,Confectionery,Sweets,plant
vanilla instant pie filling,Prepared mixes,Pie fillings,Sweets,plant
vanilla instant pudding,Prepared mixes,Puddings,Sweets,plant
vanilla instant pudding mix,Prepared mixes,Puddings,Sweets,plant
vanilla instant puddings,Prepared mixes,Puddings,Sweets,plant
vanilla jell-o,Prepared mixes,Gelatins,Sweets,plant
vanilla jello pudding,Prepared mixes,Gelatins,Sweets,plant
vanilla oil,Oils,Vegetable oils,Fats & oils,plant
vanilla paste,Condiments & sauces,Mixed condiments,Condiments & sauces,plant
vanilla pie filling,Prepared mixes,Pie fillings,Sweets,plant
vanilla pod,Extracts & essences,Extracts,Herbs & spices,plant
vanilla pods,Extracts & essences,Extracts,Herbs & spices,plant
vanilla powder,Extracts & essences,Extracts,Herbs & spices,plant
vanilla protein powder,Prepared mixes,Baking mixes,Grains,plant
vanilla pudding,Prepared mixes,Puddings,Sweets,plant
vanilla pudding mix,Prepared mixes,Puddings,Sweets,plant
vanilla puddings,Prepared mixes,Puddings,Sweets,plant
vanilla rum,Alcoholic beverages,Rum,Condiments & sauces,plant
vanilla salt,Salt & seasonings,Salt,Herbs & spices,plant
vanilla sandwich cookies,Sweets,Confectionery,Sweets,plant
vanilla schnapps,Alcoholic beverages,Liqueurs,Condiments & sauces,plant
vanilla simple syrup,Sweets,Syrup,Sweets,plant
vanilla soymilk,Plant milks,Plant milks,Dairy,dairy
vanilla syrup,Sweets,Syrup,Sweets,plant
vanilla tapioca,Flours,Starches,Grains,plant
vanilla vodka,Alcoholic beverages,Vodka,Condiments & sauces,plant
vanilla wafer,Bread & baked goods,Cookies,Grains,plant
vanilla wafer cookie,Bread & baked goods,Cookies,Grains,plant
vanilla wafer cookie crumbs,Bread & baked goods,Cookies,Grains,plant
vanilla wafer cookies,Bread & baked goods,Cookies,Grains,plant
vanilla wafer crumbs,Bread & baked goods,Cookies,Grains,plant
vanilla wafer crust,Bread & baked goods,Cookies,Grains,plant
vanilla wafer pie crust,Bread & baked goods,Cookies,Grains,plant
vanilla wafers,Bread & baked goods,Cookies,Grains,plant
vanilla whey protein,Prepared mixes,Baking mixes,Grains,plant
vanilla whey protein powder,Prepared mixes,Baking mixes,Grains,plant
vanilla yoghurt,Yogurt,Greek yogurt,Dairy,dairy
vanilla-butternut flavoring,Extracts & essences,Extracts,Herbs & spices,plant
vanilla-flavored candy coating,Sweets,Confectionery,Sweets,plant
vanilla-flavored soymilk,Plant milks,Plant milks,Dairy,dairy
vanilla-flavored syrup,Sweets,Syrup,Sweets,plant
vanilla-flavored vodka,Alcoholic beverages,Vodka,Condiments & sauces,plant
veal bones,Red meat,Veal,Protein (animal),animal
veal breast,Red meat,Veal,Protein (animal),animal
veal broth,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
veal chops,Red meat,Veal,Protein (animal),animal
veal cubes,Red meat,Veal,Protein (animal),animal
veal demi,Red meat,Veal,Protein (animal),animal
veal demi-glace,Red meat,Veal,Protein (animal),animal
veal demiglace,Red meat,Veal,Protein (animal),animal
veal escalopes,Red meat,Veal,Protein (animal),animal
veal kidney,Red meat,Veal,Protein (animal),animal
veal kidneys,Red meat,Veal,Protein (animal),animal
veal knuckle,Red meat,Veal,Protein (animal),animal
veal loin,Red meat,Veal,Protein (animal),animal
veal loin chops,Red meat,Veal,Protein (animal),animal
veal medallions,Red meat,Veal,Protein (animal),animal
veal patties,Red meat,Veal,Protein (animal),animal
veal reduction,Red meat,Veal,Protein (animal),animal
veal roast,Red meat,Veal,Protein (animal),animal
veal round,Red meat,Veal,Protein (animal),animal
veal round steak,Red meat,Beef,Protein (animal),animal
veal rump roast,Red meat,Beef,Protein (animal),animal
veal scallopini,Red meat,Veal,Protein (animal),animal
veal scaloppine,Red meat,Veal,Protein (animal),animal
veal schnitzels,Red meat,Veal,Protein (animal),animal
veal shank,Red meat,Veal,Protein (animal),animal
veal shanks,Red meat,Veal,Protein (animal),animal
veal shoulder,Red meat,Veal,Protein (animal),animal
veal shoulder roast,Red meat,Veal,Protein (animal),animal
veal steak,Red meat,Beef,Protein (animal),animal
veal steaks,Red meat,Beef,Protein (animal),animal
veal stew,Red meat,Veal,Protein (animal),animal
veal stew meat,Red meat,Beef,Protein (animal),animal
veal stock,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
veal tenderloin,Red meat,Veal,Protein (animal),animal
veg broth,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
veg oil,Oils,Vegetable oils,Fats & oils,plant
vegan cheese,Aged cheese,Aged cheese,Dairy,dairy
vegan margarine,Margarine & shortening,Margarine,Fats & oils,plant
vegatable oil,Oils,Vegetable oils,Fats & oils,plant
vegeta seasoning,Spice blends,American blends,Herbs & spices,plant
vegetable base,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
vegetable bouillon,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
vegetable bouillon cube,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
vegetable bouillon cubes,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
vegetable bouillon granules,Prepared soups & broths,Broths & stocks,Condiments & sauces,plant
